"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"3718","TRINITY_DN7411_c0_g1",-2.21352297918913,2.12374207538242,-3.68106706635516,0.00328852504946588,0.0228087434283982,-1.9119200986889,292.17,106.82,321.7,420.74,296.81,146.08,16.61,42.81,199.69,14.18
"3719","TRINITY_DN74126_c0_g1",-3.62175531814076,-1.97301585876165,-5.70319636487401,0.00010987104128159,0.00253128375678807,0.465176947714101,39,19,25,17,33,1,2,0,2,2
"3720","TRINITY_DN74141_c0_g1",-2.36518469920477,0.174591428284663,-7.75992527472656,6.09828794301123e-06,0.000454995856664367,4.11917159745685,54,54,86,85,84,9,9,13,15,14
"3721","TRINITY_DN7416_c0_g1",-1.0158164868667,4.77488368489456,-4.32718700837169,0.00104879093499661,0.0107176310941663,-1.24422093865555,1192.07,1332.51,937.79,869.79,1069.19,679.89,502.54,681.73,688.48,227.81
"3722","TRINITY_DN74164_c0_g1",-1.3282710728979,-0.253921454813627,-3.75206983980196,0.00289434968424749,0.0209502392370556,-1.47257663282774,45.77,37.19,44.46,21.96,49.3,11.91,4.28,14.94,36.76,7.56
"3723","TRINITY_DN74166_c0_g1",-2.10269899308974,-1.43054351626038,-4.35586833319219,0.000998014083383192,0.0103490583102436,-0.641795818784968,28,21,22,12,36,3,1,6,9,2
"3724","TRINITY_DN74219_c0_g1",-2.44017502089456,-1.0296866761473,-6.15334908709628,5.56239852387142e-05,0.00168328728470472,1.68281899732936,26,36,39,31,33.25,3,2,3,10,6
"3725","TRINITY_DN74224_c0_g1",-2.73256230948566,-0.990833907933039,-5.52322260437498,0.000145385683605449,0.00301129958757958,0.924512713199448,62,27,25,35,44,9,2,3,5,3
"3726","TRINITY_DN74318_c0_g1",-4.39399556553938,-3.05221416960931,-7.30966870592664,1.09668403436806e-05,0.000638648193932686,1.63677518087151,19,16,12,12,24,0,1,0,0,0
"3727","TRINITY_DN74359_c0_g1",-1.86072374428393,-1.4275190242596,-4.29955877483601,0.00110025074330807,0.0110739707955717,-0.679319261513387,30.9,20.54,15.33,16.34,19.32,6.18,2.12,5.19,2.03,5.1
"3728","TRINITY_DN74378_c0_g1",1.54515118540768,-0.268881817357698,4.87247136489319,0.000415794412762807,0.005839132399793,0.330851566920519,24.92,9.8,11.5,11.51,17.25,30.69,40.26,54,39,24.92
"3729","TRINITY_DN74387_c0_g1",1.82250573443938,-1.30756534651304,3.73475439281216,0.00298576492137663,0.0213485920650186,-1.47143462396969,10,9,2,6,9,18,15,10,28,28
"3730","TRINITY_DN74412_c0_g1",1.41297611073706,-0.249630649188452,4.7473599104073,0.000512331401809205,0.00663955617722289,0.138402473735042,13.31,15.83,18.24,8.35,22.64,28.52,35.55,26.3,61.91,31.41
"3731","TRINITY_DN74435_c0_g1",-1.64969274515273,-1.22062967838368,-4.59537534639016,0.000662119017933995,0.00789073521131637,-0.199326968269228,33,17,24,16,22,8,4,7,5,3
"3732","TRINITY_DN7446_c0_g1",-1.19477333844133,4.25344702027102,-7.88137213671282,5.22670472986571e-06,0.000421788867896329,4.31745023060882,714.39,787.81,1001.51,610.31,897.48,389.79,212.29,386.09,497.47,284.94
"3733","TRINITY_DN7446_c1_g1",1.16859817500203,-0.454303427011782,4.08786978410451,0.00159295982823696,0.0141134839579144,-0.906766381534535,23.65,9.73,14.13,8.05,20.38,29.08,21.06,33.26,28.42,28.22
"3734","TRINITY_DN7452_c0_g3",2.64328202143894,2.57974460479426,7.42936456776339,9.36052342593782e-06,0.000575936911380298,3.91139855169927,37,88,87,110.83,45.81,354.72,301.5,448.27,770.62,269.25
"3735","TRINITY_DN74582_c0_g1",1.51466177426628,-1.82573061763068,3.37707346579364,0.00570636525190334,0.0331880787442552,-2.04842317358147,11,4,8,4,3,12,11,11,13,10
"3736","TRINITY_DN7459_c0_g1",1.5678822970879,1.55937652633044,6.1244199497766,5.80621954393787e-05,0.00172195249298977,2.15365583559666,76.56,41.28,42,67,29.4,153,102.98,176.89,159.11,102.31
"3737","TRINITY_DN7460_c0_g1",-1.01336545513175,4.01181861090359,-5.8209525134686,9.16993826655038e-05,0.00226894608358946,1.37794865952789,751.6,541.03,734.47,486.71,662.4,395.84,180.69,258.26,505.91,283.98
"3738","TRINITY_DN74620_c0_g1",-2.03647252294438,1.48089292191663,-5.22895552362009,0.000232104598709774,0.00404573467431084,0.803712624687159,254.38,114.14,147.93,81.18,240.01,26.38,36.18,25.75,87.5,23.79
"3739","TRINITY_DN7465_c0_g2",2.09851900859859,0.295758432751776,3.8798719902188,0.00230279739757332,0.0179571975987685,-1.30658082623215,37,18,6,52,8.17,57.1,78,39,116.83,58.01
"3740","TRINITY_DN74660_c0_g1",2.60312358877658,-1.14790591404034,4.53377407295444,0.000735294692781168,0.00846107105233553,-0.358337817411945,8,6,5,6,4,17,25,22,32,57
"3741","TRINITY_DN7471_c1_g1",-1.04962844599719,2.44215940333799,-4.38016118552398,0.000957011063124315,0.0100858878824614,-0.774304471135134,171.24,180.79,316.03,218.7,203.67,150.9,94.04,86.28,153.11,52.18
"3742","TRINITY_DN7473_c0_g1",1.02649809797494,-0.116890958687048,3.58228693581314,0.00393055647078561,0.0258009771907435,-1.79017479723976,20,35,16,11,18,25,27,40,48,31
"3743","TRINITY_DN74741_c0_g1",-1.95749786243328,-0.35837818180285,-6.78738678928008,2.23482409775224e-05,0.000966250536572672,2.86737844777662,50,49,32,40,45,6,12,8,12,9
"3744","TRINITY_DN74788_c0_g1",-1.01850265226057,1.54089009230653,-4.21148805763701,0.0012825504678309,0.0122578110166562,-0.923063466471412,98.46,96.3,98.19,143.45,134.64,47.98,59.75,58.24,41.56,64.38
"3745","TRINITY_DN7479_c6_g1",1.3805007853615,-0.12749626260368,3.12619987305157,0.00902889496459188,0.0450665895218057,-2.56256827134357,36,24,13,17,7,25.5,35.51,45.14,73,23
"3746","TRINITY_DN7483_c0_g2",1.21450717762164,1.57170226566807,3.17610909777991,0.00823962929912616,0.0423760928708623,-2.76171153071031,80.97,48.04,66.06,46.88,39.01,51.29,126.02,118.05,253.09,130.28
